Date,Open,High,Low,Close,Volume
12/29/15,106.96,109.43,106.86,108.74,30931243
12/30/15,108.58,108.7,107.18,107.32,25213777
12/31/15,107.01,107.03,104.82,105.26,40912316
1/4/16,102.61,105.37,102,105.35,67281190
1/5/16,105.75,105.85,102.41,102.71,55790992
1/6/16,100.56,102.37,99.87,100.7,68457388
1/7/16,98.68,100.13,96.43,96.45,81094428
1/8/16,98.55,99.11,96.76,96.96,70798016
1/11/16,98.97,99.06,97.34,98.53,49739377
1/12/16,100.55,100.69,98.84,99.96,49154227
1/13/16,100.32,101.19,97.3,97.39,61745031
1/14/16,97.96,100.48,95.74,99.52,62424154
1/15/16,96.2,97.71,95.36,97.13,79010008
1/19/16,98.41,98.65,95.5,96.66,52841349
1/20/16,95.1,98.19,93.42,96.79,72008265
1/21/16,97.06,97.88,94.94,96.3,52054521
1/22/16,98.63,101.46,98.37,101.42,65562769
1/25/16,101.52,101.53,99.21,99.44,51196375
1/26/16,99.93,100.88,98.07,99.99,63538305
1/27/16,96.04,96.63,93.34,93.42,132224500
1/28/16,93.79,94.52,92.39,94.09,55557109
1/29/16,94.79,97.34,94.35,97.34,64010141
2/1/16,96.47,96.71,95.4,96.43,40571593
2/2/16,95.42,96.04,94.28,94.48,37081206
2/3/16,95,96.84,94.08,96.35,45366710
2/4/16,95.86,97.33,95.19,96.6,46263907
2/5/16,96.52,96.92,93.69,94.02,45853883
2/8/16,93.13,95.7,93.04,95.01,53852284
2/9/16,94.29,95.94,93.93,94.99,44262912
2/10/16,95.92,96.35,94.1,94.27,42244975
2/11/16,93.79,94.72,92.59,93.7,49686210
2/12/16,94.19,94.5,93.01,93.99,40121670
2/16/16,95.02,96.85,94.61,96.64,47490678
2/17/16,96.67,98.21,96.15,98.12,44390173
2/18/16,98.84,98.89,96.09,96.26,38494442
2/19/16,96,96.76,95.8,96.04,34485576
2/22/16,96.31,96.9,95.92,96.88,34048195
2/23/16,96.4,96.5,94.55,94.69,31686699
2/24/16,93.98,96.38,93.32,96.1,36155642
2/25/16,96.05,96.76,95.25,96.76,27393905
2/26/16,97.2,98.02,96.58,96.91,28913208
2/29/16,96.86,98.23,96.65,96.69,34876558
3/1/16,97.65,100.77,97.42,100.53,50153943
3/2/16,100.51,100.89,99.64,100.75,33084941
3/3/16,100.58,101.71,100.45,101.5,36792245
3/4/16,102.37,103.75,101.37,103.01,45936485
3/7/16,102.39,102.83,100.96,101.87,35828909
3/8/16,100.78,101.76,100.4,101.03,31274161
3/9/16,101.31,101.58,100.27,101.12,27130729
3/10/16,101.41,102.24,100.15,101.17,33513577
3/11/16,102.24,102.28,101.5,102.26,27200833
3/14/16,101.91,102.91,101.78,102.52,25027426
3/15/16,103.96,105.18,103.85,104.58,40067734
3/16/16,104.61,106.31,104.59,105.97,37893758
3/17/16,105.52,106.47,104.96,105.8,34244593
3/18/16,106.34,106.5,105.19,105.92,43402289
3/21/16,105.93,107.65,105.14,105.91,35180796
3/22/16,105.25,107.29,105.21,106.72,32232567
3/23/16,106.48,107.07,105.9,106.13,25452612
3/24/16,105.47,106.25,104.89,105.67,25480914
3/28/16,106,106.19,105.06,105.19,19303557
3/29/16,104.89,107.79,104.88,107.68,30774115
3/30/16,108.65,110.42,108.6,109.56,45159861
3/31/16,109.72,109.9,108.88,108.99,25685672
4/1/16,108.78,110,108.2,109.99,25626163
4/4/16,110.42,112.19,110.27,111.12,37243224
4/5/16,109.51,110.73,109.42,109.81,26495312
4/6/16,110.23,110.98,109.2,110.96,26047772
4/7/16,109.95,110.42,108.12,108.54,30881022
4/8/16,108.91,109.77,108.17,108.66,23514462
4/11/16,108.97,110.61,108.83,109.02,28313525
4/12/16,109.34,110.5,108.66,110.44,26812000
4/13/16,110.8,112.34,110.8,112.04,32691799
4/14/16,111.62,112.39,111.33,112.1,25337435
4/15/16,112.11,112.3,109.73,109.85,46418482
4/18/16,108.89,108.95,106.94,107.48,60834027
4/19/16,107.88,108,106.23,106.91,32292344
4/20/16,106.64,108.09,106.06,107.13,28666865
4/21/16,106.93,106.93,105.52,105.97,31356434
4/22/16,105.01,106.48,104.62,105.68,33477142
4/25/16,105,105.65,104.51,105.08,27950966
4/26/16,103.91,105.3,103.91,104.35,40338403
4/27/16,96,98.71,95.68,97.82,113538389
4/28/16,97.61,97.88,94.25,94.83,81990674
4/29/16,93.99,94.72,92.51,93.74,68334434
5/2/16,93.96,94.08,92.4,93.64,47736879
5/3/16,94.2,95.74,93.68,95.18,56533960
5/4/16,95.2,95.9,93.82,94.19,40824776
5/5/16,94,94.07,92.68,93.24,35763138
5/6/16,93.37,93.45,91.85,92.72,43458189
5/9/16,93,93.77,92.59,92.79,32855251
5/10/16,93.33,93.57,92.11,93.42,33592465
5/11/16,93.48,93.57,92.46,92.51,28539912
5/12/16,92.72,92.78,89.47,90.34,76109795
5/13/16,90,91.67,90,90.52,44188153
5/16/16,92.39,94.39,91.65,93.88,61140610
5/17/16,94.55,94.7,93.01,93.49,46507449
5/18/16,94.16,95.21,93.89,94.56,41923114
5/19/16,94.64,94.64,93.57,94.2,29693945
5/20/16,94.64,95.43,94.52,95.22,31804564
5/23/16,95.87,97.19,95.67,96.43,37860535
5/24/16,97.22,98.09,96.84,97.9,35036561
5/25/16,98.67,99.74,98.11,99.62,38168760
5/26/16,99.68,100.73,98.64,100.41,56093437
5/27/16,99.44,100.47,99.24,100.35,36229530
5/31/16,99.6,100.4,98.82,99.86,42307212
6/1/16,99.02,99.54,98.33,98.46,29173285
6/2/16,97.6,97.84,96.63,97.72,40191600
6/3/16,97.79,98.27,97.45,97.92,28504888
6/6/16,97.99,101.89,97.55,98.63,23292504
6/7/16,99.25,99.87,98.96,99.03,22409450
6/8/16,99.02,99.56,98.68,98.94,20848131
6/9/16,98.5,99.99,98.46,99.65,26601354
6/10/16,98.53,99.35,98.48,98.83,31712936
6/13/16,98.69,99.12,97.1,97.34,38020494
6/14/16,97.32,98.48,96.75,97.46,31931944
